boundary_id,date,bin,n
8_11,2025-01-30,-575,0
8_11,2025-01-30,-525,0
8_11,2025-01-30,-475,0
8_11,2025-01-30,-425,0
8_11,2025-01-30,-375,1
8_11,2025-01-30,-325,0
8_11,2025-01-30,-275,0
8_11,2025-01-30,-225,0
8_11,2025-01-30,-175,0
8_11,2025-01-30,-125,0
8_11,2025-01-30,-75,0
8_11,2025-01-30,-25,0
8_11,2025-01-30,25,0
8_11,2025-01-30,75,0
8_11,2025-01-30,125,0
8_11,2025-01-30,175,0
8_11,2025-01-30,225,0
8_11,2025-01-30,275,2
8_11,2025-01-30,325,1
8_11,2025-01-30,375,0
8_11,2025-01-30,425,0
8_11,2025-01-30,475,0
8_11,2025-01-30,525,0
8_11,2025-01-30,575,1
8_11,2025-01-30,625,1
8_11,2025-01-30,675,0
8_11,2025-01-30,725,0
8_11,2025-01-30,775,0
8_11,2025-01-30,825,0
8_11,2025-01-30,875,0
8_11,2025-01-30,925,0
8_11,2025-01-30,975,0
8_11,2025-01-30,1025,1
8_11,2025-01-30,1075,0
8_11,2025-01-30,1125,0
8_11,2025-01-30,1175,0
8_11,2025-01-30,1225,0
8_11,2025-01-30,1275,1
8_11,2025-01-30,1325,0
8_11,2025-01-30,1375,0
8_11,2025-01-30,1425,0
8_11,2025-01-30,1475,0
8_11,2025-01-30,1525,0
8_11,2025-01-30,1575,0
8_11,2025-01-30,1625,0
8_11,2025-01-30,1675,0
8_11,2025-01-30,1725,0
8_11,2025-01-30,1775,1
8_11,2025-01-30,1825,0
8_11,2025-01-30,1875,0
8_11,2025-01-30,1925,0
8_11,2025-01-30,1975,0
8_11,2025-02-02,-1975,0
8_11,2025-02-02,-1925,0
8_11,2025-02-02,-1875,1
8_11,2025-02-02,-1825,0
8_11,2025-02-02,-1775,0
8_11,2025-02-02,-1725,0
8_11,2025-02-02,-1675,0
8_11,2025-02-02,-1625,0
8_11,2025-02-02,-1575,0
8_11,2025-02-02,-1525,2
8_11,2025-02-02,-1475,0
8_11,2025-02-02,-1425,2
8_11,2025-02-02,-1375,0
8_11,2025-02-02,-1325,0
8_11,2025-02-02,-1275,0
8_11,2025-02-02,-1225,0
8_11,2025-02-02,-1175,0
8_11,2025-02-02,-1125,0
8_11,2025-02-02,-1075,0
8_11,2025-02-02,-1025,0
8_11,2025-02-02,-975,0
8_11,2025-02-02,-925,0
8_11,2025-02-02,-875,0
8_11,2025-02-02,-825,1
8_11,2025-02-02,-775,1
8_11,2025-02-02,-725,1
8_11,2025-02-02,-675,0
8_11,2025-02-02,-625,0
8_11,2025-02-02,-575,1
8_11,2025-02-02,-525,2
8_11,2025-02-02,-475,0
8_11,2025-02-02,-425,0
8_11,2025-02-02,-375,0
8_11,2025-02-02,-325,1
8_11,2025-02-02,-275,3
8_11,2025-02-02,-225,2
8_11,2025-02-02,-175,0
8_11,2025-02-02,-125,1
8_11,2025-02-02,-75,0
8_11,2025-02-02,-25,0
8_11,2025-02-02,25,0
8_11,2025-02-02,75,2
8_11,2025-02-02,125,0
8_11,2025-02-02,175,3
8_11,2025-02-02,225,2
8_11,2025-02-02,275,0
8_11,2025-02-02,325,0
8_11,2025-02-02,375,0
8_11,2025-02-02,425,0
8_11,2025-02-02,475,0
8_11,2025-02-02,525,0
8_11,2025-02-02,575,1
8_11,2025-02-02,625,0
8_11,2025-02-02,675,0
8_11,2025-02-02,725,1
8_11,2025-02-02,775,0
8_11,2025-02-02,825,1
8_11,2025-02-02,875,1
8_11,2025-02-02,925,0
8_11,2025-02-02,975,0
8_11,2025-02-02,1025,0
8_11,2025-02-02,1075,0
8_11,2025-02-02,1125,0
8_11,2025-02-02,1175,2
8_11,2025-02-02,1225,0
8_11,2025-02-02,1275,0
8_11,2025-02-02,1325,0
8_11,2025-02-02,1375,2
8_11,2025-02-02,1425,0
8_11,2025-02-02,1475,1
8_11,2025-02-02,1525,0
8_11,2025-02-02,1575,0
8_11,2025-02-02,1625,1
8_11,2025-02-02,1675,0
8_11,2025-02-02,1725,0
8_11,2025-02-02,1775,0
8_11,2025-02-02,1825,0
8_11,2025-02-02,1875,0
8_11,2025-02-02,1925,0
8_11,2025-02-02,1975,0
8_11,2025-02-08,-1975,0
8_11,2025-02-08,-1925,0
8_11,2025-02-08,-1875,0
8_11,2025-02-08,-1825,0
8_11,2025-02-08,-1775,1
8_11,2025-02-08,-1725,0
8_11,2025-02-08,-1675,0
8_11,2025-02-08,-1625,0
8_11,2025-02-08,-1575,0
8_11,2025-02-08,-1525,0
8_11,2025-02-08,-1475,0
8_11,2025-02-08,-1425,0
8_11,2025-02-08,-1375,0
8_11,2025-02-08,-1325,0
8_11,2025-02-08,-1275,0
8_11,2025-02-08,-1225,0
8_11,2025-02-08,-1175,0
8_11,2025-02-08,-1125,0
8_11,2025-02-08,-1075,0
8_11,2025-02-08,-1025,0
8_11,2025-02-08,-975,0
8_11,2025-02-08,-925,1
8_11,2025-02-08,-875,1
8_11,2025-02-08,-825,0
8_11,2025-02-08,-775,0
8_11,2025-02-08,-725,0
8_11,2025-02-08,-675,0
8_11,2025-02-08,-625,0
8_11,2025-02-08,-575,0
8_11,2025-02-08,-525,0
8_11,2025-02-08,-475,0
8_11,2025-02-08,-425,0
8_11,2025-02-08,-375,0
8_11,2025-02-08,-325,0
8_11,2025-02-08,-275,0
8_11,2025-02-08,-225,0
8_11,2025-02-08,-175,0
8_11,2025-02-08,-125,0
8_11,2025-02-08,-75,0
8_11,2025-02-08,-25,0
8_11,2025-02-08,25,2
8_11,2025-02-08,75,0
8_11,2025-02-08,125,0
8_11,2025-02-08,175,0
8_11,2025-02-08,225,0
8_11,2025-02-08,275,0
8_11,2025-02-08,325,0
8_11,2025-02-08,375,0
